,Ligand0,Receptor0,Receptor1,perm_pval,fdr,selected
THBS2_ITGA3_ITGB1,THBS2,ITGA3,ITGB1,0.0,0.0,True
COL1A2_ITGA11_ITGB1,COL1A2,ITGA11,ITGB1,0.0,0.0,True
COMP_SDC4,COMP,SDC4,,0.0040000000000000036,0.007436241610738262,True
THBS2_SDC4,THBS2,SDC4,,0.0,0.0,True
THBS1_SDC4,THBS1,SDC4,,0.0,0.0,True
COMP_SDC1,COMP,SDC1,,0.25,0.40976331360946744,False
COL1A1_SDC4,COL1A1,SDC4,,1.0,1.0,False
COL1A2_SDC4,COL1A2,SDC4,,0.0,0.0,True
COL4A1_SDC4,COL4A1,SDC4,,0.0,0.0,True
COL4A2_SDC4,COL4A2,SDC4,,1.0,1.0,False
COL6A1_SDC4,COL6A1,SDC4,,0.0,0.0,True
COL6A2_SDC4,COL6A2,SDC4,,0.0,0.0,True
COL6A3_SDC4,COL6A3,SDC4,,0.0,0.0,True
FN1_SDC4,FN1,SDC4,,1.0,1.0,False
THBS1_CD47,THBS1,CD47,,0.04600000000000004,0.0811592356687899,True
THBS2_CD47,THBS2,CD47,,0.0,0.0,True
COMP_CD47,COMP,CD47,,0.0010000000000000009,0.001871621621621623,True
THBS1_SDC1,THBS1,SDC1,,0.0,0.0,True
COL4A1_ITGAV_ITGB8,COL4A1,ITGAV,,0.0,0.0,True
COL4A2_ITGAV_ITGB8,COL4A2,ITGAV,,1.0,1.0,False
COL6A1_ITGAV_ITGB8,COL6A1,ITGAV,,0.0,0.0,True
COL6A2_ITGAV_ITGB8,COL6A2,ITGAV,,0.0,0.0,True
COL6A3_ITGAV_ITGB8,COL6A3,ITGAV,,0.0,0.0,True
LAMA4_ITGA6_ITGB4,LAMA4,ITGA6,ITGB4,0.0,0.0,True
LAMA5_ITGA6_ITGB4,LAMA5,ITGA6,ITGB4,1.0,1.0,False
LAMB1_ITGA6_ITGB4,LAMB1,ITGA6,ITGB4,0.32399999999999995,0.5187745664739883,False
LAMB2_ITGA6_ITGB4,LAMB2,ITGA6,ITGB4,1.0,1.0,False
LAMB3_ITGA6_ITGB4,LAMB3,ITGA6,ITGB4,0.0,0.0,True
LAMC1_ITGA6_ITGB4,LAMC1,ITGA6,ITGB4,0.0,0.0,True
COL1A2_ITGAV_ITGB8,COL1A2,ITGAV,,0.062000000000000055,0.10667080745341624,False
LAMC3_ITGAV_ITGB8,LAMC3,ITGAV,,0.0,0.0,True
LAMC2_ITGAV_ITGB8,LAMC2,ITGAV,,1.0,1.0,False
THBS2_SDC1,THBS2,SDC1,,0.0010000000000000009,0.001871621621621623,True
FN1_ITGAV_ITGB6,FN1,ITGAV,ITGB6,1.0,1.0,False
FN1_ITGAV_ITGB8,FN1,ITGAV,,1.0,1.0,False
LAMA4_ITGAV_ITGB8,LAMA4,ITGAV,,0.0,0.0,True
LAMA5_ITGAV_ITGB8,LAMA5,ITGAV,,0.0,0.0,True
LAMB1_ITGAV_ITGB8,LAMB1,ITGAV,,0.999,1.0,False
LAMB2_ITGAV_ITGB8,LAMB2,ITGAV,,1.0,1.0,False
LAMB3_ITGAV_ITGB8,LAMB3,ITGAV,,0.0,0.0,True
LAMC1_ITGAV_ITGB8,LAMC1,ITGAV,,1.0,1.0,False
LAMC2_ITGA6_ITGB4,LAMC2,ITGA6,ITGB4,1.0,1.0,False
LAMC3_ITGA6_ITGB4,LAMC3,ITGA6,ITGB4,0.0,0.0,True
COL1A1_ITGAV_ITGB8,COL1A1,ITGAV,,1.0,1.0,False
COL1A1_CD44,COL1A1,CD44,,0.999,1.0,False
LAMC3_CD44,LAMC3,CD44,,0.0,0.0,True
COL1A1_SDC1,COL1A1,SDC1,,0.991,1.0,False
COL1A2_SDC1,COL1A2,SDC1,,0.0,0.0,True
COL4A1_SDC1,COL4A1,SDC1,,0.0,0.0,True
COL4A2_SDC1,COL4A2,SDC1,,0.976,1.0,False
COL6A1_SDC1,COL6A1,SDC1,,0.0,0.0,True
COL6A2_SDC1,COL6A2,SDC1,,0.029000000000000026,0.05182580645161295,True
COL6A3_SDC1,COL6A3,SDC1,,0.879,1.0,False
FN1_SDC1,FN1,SDC1,,1.0,1.0,False
FN1_CD44,FN1,CD44,,1.0,1.0,False
LAMC2_CD44,LAMC2,CD44,,1.0,1.0,False
LAMC1_CD44,LAMC1,CD44,,0.988,1.0,False
LAMB3_CD44,LAMB3,CD44,,0.0,0.0,True
COL1A2_CD44,COL1A2,CD44,,0.18899999999999995,0.3153795180722891,False
COL4A1_CD44,COL4A1,CD44,,0.0,0.0,True
COL4A2_CD44,COL4A2,CD44,,1.0,1.0,False
COL6A1_CD44,COL6A1,CD44,,0.0,0.0,True
COL6A2_CD44,COL6A2,CD44,,0.0,0.0,True
COL6A3_CD44,COL6A3,CD44,,0.0,0.0,True
LAMB2_CD44,LAMB2,CD44,,1.0,1.0,False
LAMA4_CD44,LAMA4,CD44,,0.0,0.0,True
LAMA5_CD44,LAMA5,CD44,,0.0,0.0,True
LAMB1_CD44,LAMB1,CD44,,0.999,1.0,False
SEMA3B_NRP1_PLXNA3,SEMA3B,PLXNA3,,0.988,1.0,False
SEMA3B_NRP1_PLXNA1,SEMA3B,PLXNA1,,1.0,1.0,False
SEMA3B_NRP1_PLXNA2,SEMA3B,PLXNA2,,1.0,1.0,False
SEMA3F_NRP2_PLXNA4,SEMA3F,NRP2,,0.11399999999999999,0.19254878048780488,False
SEMA3F_NRP2_PLXNA3,SEMA3F,NRP2,PLXNA3,0.0,0.0,True
SEMA3F_NRP2_PLXNA2,SEMA3F,NRP2,PLXNA2,0.0010000000000000009,0.001871621621621623,True
SEMA3F_NRP2_PLXNA1,SEMA3F,NRP2,PLXNA1,0.0,0.0,True
SEMA3B_NRP2_PLXNA4,SEMA3B,NRP2,,1.0,1.0,False
SEMA3B_NRP2_PLXNA3,SEMA3B,NRP2,PLXNA3,1.0,1.0,False
SEMA3B_NRP2_PLXNA2,SEMA3B,NRP2,PLXNA2,1.0,1.0,False
SEMA3B_NRP2_PLXNA1,SEMA3B,NRP2,PLXNA1,1.0,1.0,False
LGALS9_CD44,LGALS9,CD44,,0.0,0.0,True
GAS6_AXL,GAS6,AXL,,1.0,1.0,False
GRN_SORT1,GRN,SORT1,,0.0,0.0,True
WNT7B_FZD9_LRP5,WNT7B,LRP5,,0.0,0.0,True
WNT7B_FZD8_LRP5,WNT7B,LRP5,,0.0,0.0,True
WNT7B_FZD7_LRP5,WNT7B,LRP5,,0.0,0.0,True
WNT7B_FZD6_LRP5,WNT7B,LRP5,,0.0,0.0,True
WNT7B_FZD4_LRP5,WNT7B,LRP5,,0.0,0.0,True
WNT7B_FZD3_LRP5,WNT7B,LRP5,,0.0,0.0,True
WNT7B_FZD2_LRP5,WNT7B,LRP5,,0.0,0.0,True
WNT7B_FZD10_LRP5,WNT7B,LRP5,,0.0,0.0,True
WNT7B_FZD1_LRP5,WNT7B,LRP5,,0.0,0.0,True
WNT7B_FZD5_LRP5,WNT7B,LRP5,,0.0,0.0,True
LTA_LTB_LTBR,LTB,LTBR,,0.0,0.0,True
SPP1_ITGA5_ITGB1,SPP1,ITGA5,ITGB1,0.0,0.0,True
SPP1_ITGA8_ITGB1,SPP1,ITGB1,,0.0,0.0,True
SPP1_ITGA9_ITGB1,SPP1,ITGB1,,0.0,0.0,True
SPP1_ITGA4_ITGB1,SPP1,ITGB1,,0.0,0.0,True
SPP1_ITGAV_ITGB6,SPP1,ITGAV,ITGB6,0.0,0.0,True
SPP1_ITGAV_ITGB5,SPP1,ITGAV,ITGB5,0.0,0.0,True
SPP1_ITGAV_ITGB1,SPP1,ITGAV,ITGB1,0.0,0.0,True
SPP1_ITGAV_ITGB3,SPP1,ITGAV,,0.0,0.0,True
SPP1_CD44,SPP1,CD44,,0.0,0.0,True
TNFSF12_TNFRSF12A,TNFSF12,TNFRSF12A,,0.0,0.0,True
LIF_LIFR_IL6ST,LIF,IL6ST,,0.0,0.0,True
IL16_CD4,IL16,CD4,,1.0,1.0,False
CSF1_CSF1R,CSF1,CSF1R,,0.0,0.0,True
MDK_LRP1,MDK,LRP1,,0.0,0.0,True
MDK_ITGA6_ITGB1,MDK,ITGA6,ITGB1,0.0,0.0,True
MDK_ITGA4_ITGB1,MDK,ITGB1,,0.0,0.0,True
MDK_SDC4,MDK,SDC4,,0.0,0.0,True
MDK_SDC1,MDK,SDC1,,0.0,0.0,True
C3_ITGAX_ITGB2,C3,ITGAX,ITGB2,0.999,1.0,False
C3_ITGAM_ITGB2,C3,ITGB2,,0.994,1.0,False
FGF15_FGFR1,FGF19,FGFR1,,1.0,1.0,False
FGF15_FGFR3,FGF19,FGFR3,,1.0,1.0,False
PDGFB_PDGFRB,PDGFB,PDGFRB,,1.0,1.0,False
PDGFB_PDGFRA,PDGFB,PDGFRA,,1.0,1.0,False
FGF23_FGFR4,FGF23,FGFR4,,0.0,0.0,True
FGF23_FGFR3,FGF23,FGFR3,,0.0,0.0,True
FGF23_FGFR1,FGF23,FGFR1,,0.0,0.0,True
FGF15_FGFR4,FGF19,FGFR4,,1.0,1.0,False
HBEGF_ERBB2_ERBB4,HBEGF,ERBB2,,0.0,0.0,True
HBEGF_EGFR_ERBB2,HBEGF,ERBB2,,0.0,0.0,True
INS_INSSR,INS,INSR,,0.0,0.0,True
